stop_frac,be_r,risk_per_trade,annual,mdd,calmar,sharpe,sortino,winrate,pf,n_trades,n_be_moves,n_stopped,n_be_exits,n_eod,n_capped,n_cant_afford,final_equity
0.05,3.0,0.007,0.5318513588997149,-0.5926100777389608,0.8974726871485815,1.0539581430461842,5.006223367954329,0.09449981543004798,1.2231660397674788,2709,756,1939,512,258,0,0,2355389.5
0.075,5.0,0.007,0.5647876812716752,-0.4813649526492917,1.1733045336251617,1.2712719325369164,4.889825908486599,0.15023994093761536,1.3777502250025127,2709,525,2124,168,417,0,0,2954840.0
0.1,8.0,0.007,0.4519797334807609,-0.37362769613414815,1.2097061811993752,1.2307790162972962,4.093654472383847,0.19748984865263935,1.2676181895376677,2709,232,2139,17,553,0,0,1331033.5
0.05,5.0,0.007,0.6012372716557113,-0.5766201450831269,1.042692102907774,1.119069282841044,5.231606819271398,0.10520487264673312,1.239307611150929,2709,552,2136,286,287,0,0,3776777.5
0.075,8.0,0.007,0.5767027215761549,-0.48512640449438205,1.1887679504421478,1.2736458165546218,4.855070443843573,0.1583610188261351,1.3455822461404654,2709,310,2233,35,441,0,0,3203665.5
0.1,,0.007,0.43776733738040785,-0.36922830054959016,1.1856277991930697,1.201556198444986,3.9881597077411404,0.19785898855666298,1.2571277516090593,2709,0,2155,0,554,0,0,1198551.5
0.05,8.0,0.007,0.607163443222948,-0.5464222175315864,1.1111617056234548,1.1142490496267763,5.13230280690693,0.11258767072720562,1.2398306621283308,2709,376,2286,115,308,0,0,3928451.0
0.075,,0.007,0.5742027438964081,-0.48897560975609755,1.1742973114401802,1.266023600656671,4.81834634714012,0.16057585825027684,1.352162121805473,2709,0,2262,0,447,0,0,3149937.0
0.05,,0.007,0.5989192356132143,-0.566995648582596,1.056303054724357,1.0971956884178153,5.005072905848032,0.11664820967146548,1.2074606413152544,2709,0,2389,0,320,0,0,3718908.5
0.1,3.0,0.007,0.4030811698021908,-0.38171878768389744,1.0559636643716463,1.1801026490501603,3.961674096706528,0.17091177556293835,1.2819157736171918,2709,764,1896,338,475,0,0,923879.0
0.075,3.0,0.007,0.5196524720573772,-0.5009619495510902,1.0373092657496952,1.2281436986371526,4.819824518375175,0.132890365448505,1.350130141259377,2709,771,1909,432,368,0,0,2162982.0
0.1,5.0,0.007,0.44646689859483524,-0.3694968758560415,1.2083103478492787,1.2271492893615785,4.104108946551183,0.19010705057216684,1.2674320846198752,2709,484,2081,96,532,0,0,1278146.5
