stop_frac,be_r,risk_per_trade,annual,mdd,calmar,sharpe,sortino,winrate,pf,n_trades,n_entries,n_stopped,n_be_exits,n_eod,n_be_moves,n_capped,n_cant_afford,n_no_trade,final_equity,secs
0.005,1.0,0.007,-0.42391490987996916,-0.9970942299709423,-0.4251502988762888,-2.479519875529317,-10.556115033120708,0.008547008547008548,0.3054781697831465,234,234,217,15,2,17,0,2475,39,700.0,13.5
0.005,12.0,0.007,-0.42477036911185495,-0.997139892071399,-0.42598874289289773,-2.4862347658404036,-10.557975719856524,0.008547008547008548,0.3054688087630201,234,234,218,14,2,16,0,2475,39,689.0,8.7
0.0075,5.0,0.007,-0.42345341709773043,-0.997113359910048,-0.4246793134292486,-1.9107083016175799,-7.144324074767725,0.024861878453038673,0.4621627919018278,362,362,321,32,9,41,0,2347,39,706.0,9.2
0.01,2.0,0.007,-0.2694078175211201,-0.9884681371661876,-0.2725508363815125,0.24639283802074924,1.6873600636402493,0.028348397699260477,0.8461188540148081,2434,2434,2122,243,69,312,0,275,39,8809.0,21.4
0.01,,0.007,-0.27154654098605235,-0.988088530235747,-0.2748200517227584,0.26086093372175895,1.7725383648381163,0.03106876553438277,0.8545646190077517,2414,2414,2339,0,75,0,0,295,39,8538.0,22.6
0.015,8.0,0.007,-0.019623876467592116,-0.9611248146062514,-0.02041761503747203,0.40187660040877865,2.6517263003661085,0.038390550018456995,0.992468150823045,2709,2709,2361,244,104,346,0,0,39,202395.0,26.2
0.025,3.0,0.007,0.25175293445804736,-0.7554190002790664,0.3332626454524508,0.612963330819389,3.671868153839653,0.05167958656330749,1.0874825014492808,2709,2709,2105,464,140,603,0,0,39,2737396.0,26.9
0.05,1.0,0.007,0.3124227568857818,-0.5764735556081028,0.5419550538727096,0.7800230856537325,3.7058832879287955,0.07345884090070137,1.1748597413735107,2709,2709,1572,937,200,1136,0,0,39,4533395.0,26.5
0.05,12.0,0.007,0.593092565749932,-0.5741157196091945,1.0330540437973987,1.0914075157898075,4.965905089737577,0.11554078995939461,1.2128922178405173,2709,2709,2363,29,317,231,0,0,39,35769786.0,29.9
0.075,5.0,0.007,0.5482297352448471,-0.48566553775040494,1.1288215708782603,1.246682007391993,4.769974440833486,0.15023994093761536,1.3730018708453255,2709,2709,2124,168,417,525,0,0,39,26381031.0,28.4
0.005,2.0,0.007,-0.42391490987996916,-0.9970942299709423,-0.4251502988762888,-2.479519875529317,-10.556115033120708,0.008547008547008548,0.3054781697831465,234,234,217,15,2,17,0,2475,39,700.0,14.2
0.005,,0.007,-0.4229194796168919,-0.9970402656704026,-0.42417492470329066,-2.498086354841383,-10.59173948715343,0.008733624454148471,0.29953327882164843,229,229,227,0,2,0,0,2480,39,713.0,8.4
0.0075,8.0,0.007,-0.4235300851447594,-0.9971174486353879,-0.42475446169795195,-1.9068390408902527,-7.140314095384785,0.024793388429752067,0.4621617948148164,363,363,323,31,9,40,0,2346,39,705.0,9.2
0.01,3.0,0.007,-0.2694078175211201,-0.9884681371661876,-0.2725508363815125,0.24639283802074924,1.6873600636402493,0.028348397699260477,0.8461188540148081,2434,2434,2122,243,69,312,0,275,39,8809.0,23.1
0.015,1.0,0.007,-0.08556353563792829,-0.9622439509063532,-0.08892083505158396,0.3272351453101085,2.144545100083486,0.034699150978220746,0.9643064570836489,2709,2709,2258,357,94,451,0,0,39,96360.0,25.5
0.015,12.0,0.007,-0.01974438073296081,-0.964688170821278,-0.02046711189186825,0.399630674557997,2.594069050592633,0.03949796973052787,0.9909539646182288,2709,2709,2431,171,107,276,0,0,39,202130.0,26.6
0.025,5.0,0.007,0.28337475367090303,-0.7647500183002709,0.3705455990713543,0.6445450995482789,3.832985725813659,0.056109265411590996,1.0941229635167395,2709,2709,2203,354,152,501,0,0,39,3571253.01,27.7
0.05,2.0,0.007,0.4716986559807217,-0.569721580374422,0.8279459164434679,0.9931981840406816,4.743296496367897,0.08785529715762273,1.2083274792603216,2709,2709,1758,711,240,939,0,0,39,15368441.0,29.0
0.05,,0.007,0.5753775868816122,-0.5835336602103167,0.9860229599681278,1.0712747267796865,4.8481863851392095,0.11664820967146548,1.2033787111262495,2709,2709,2389,0,320,0,0,0,39,31750837.0,29.8
0.075,8.0,0.007,0.5629846762459896,-0.49069853323024015,1.147312735051181,1.2532301496369938,4.757110822860883,0.1583610188261351,1.341777445860761,2709,2709,2233,35,441,310,0,0,39,29187527.0,26.4
0.005,3.0,0.007,-0.42391490987996916,-0.9970942299709423,-0.4251502988762888,-2.479519875529317,-10.556115033120708,0.008547008547008548,0.3054781697831465,234,234,217,15,2,17,0,2475,39,700.0,13.8
0.0075,1.0,0.007,-0.42345341709773043,-0.997113359910048,-0.4246793134292486,-1.9107083016175799,-7.144324074767725,0.024861878453038673,0.4621627919018278,362,362,321,32,9,41,0,2347,39,706.0,9.1
0.0075,12.0,0.007,-0.42469209062468827,-0.9971787795154861,-0.4258936304591637,-1.9130147000657403,-7.153732582845788,0.024793388429752067,0.4576007901784646,363,363,324,30,9,39,0,2346,39,690.0,9.5
0.01,5.0,0.007,-0.2693144990590256,-0.9884681371661876,-0.27245642922908575,0.24706069036203435,1.6925361646026587,0.028336755646817247,0.8455446115224018,2435,2435,2128,238,69,307,0,274,39,8821.0,23.4
0.015,2.0,0.007,-0.08547543162706628,-0.9612542217532455,-0.08892073469510116,0.3266647337046426,2.1374096392813566,0.03506829088224437,0.9638504632850565,2709,2709,2263,351,95,446,0,0,39,96459.0,25.4
0.015,,0.007,-0.021346751416901344,-0.9637660333978703,-0.02214930872967256,0.4084782147548391,2.6461882161446355,0.042820228866740494,0.9919281865700891,2709,2709,2592,0,117,0,0,0,39,198636.0,25.3
0.025,8.0,0.007,0.2960709120781313,-0.7924599823524333,0.3736099218527589,0.6574401422081777,3.860938456043897,0.05906238464377999,1.10793490713562,2709,2709,2330,219,160,372,0,0,39,3966326.0,26.7
0.05,3.0,0.007,0.5088821345263834,-0.6030419652439751,0.8438585767750059,1.0255402862467604,4.8317205140191986,0.09449981543004798,1.2179755628406272,2709,2709,1939,512,258,756,0,0,39,20050690.0,26.7
0.075,1.0,0.007,0.2900904081119271,-0.49475827790170346,0.5863275483579904,0.8830640378060549,3.5152743939319415,0.09413067552602436,1.251618046468275,2709,2709,1362,1085,262,1336,0,0,39,3775545.0,29.0
0.075,12.0,0.007,0.5714913279040317,-0.4940719077730905,1.156696664823326,1.2616746772338912,4.791371521636712,0.16057585825027684,1.3531973466254978,2709,2709,2253,9,447,142,0,0,39,30925885.0,27.6
0.005,5.0,0.007,-0.42391490987996916,-0.9970942299709423,-0.4251502988762888,-2.479519875529317,-10.556115033120708,0.008547008547008548,0.3054781697831465,234,234,217,15,2,17,0,2475,39,700.0,13.6
0.0075,2.0,0.007,-0.42345341709773043,-0.997113359910048,-0.4246793134292486,-1.9107083016175799,-7.144324074767725,0.024861878453038673,0.4621627919018278,362,362,321,32,9,41,0,2347,39,706.0,9.1
0.0075,,0.007,-0.4237606820116493,-0.9971297148114076,-0.42498049723831305,-1.9498931356605629,-7.236554416764967,0.025139664804469275,0.44795378098226485,358,358,349,0,9,0,0,2351,39,702.0,9.3
0.01,8.0,0.007,-0.26944673421616316,-0.9883162069321382,-0.2726321113892899,0.2484976578000644,1.7033249715479806,0.028395061728395062,0.8440211648423566,2430,2430,2143,218,69,287,0,279,39,8804.0,21.1
0.015,3.0,0.007,-0.05822614529341552,-0.9612542217532455,-0.06057309708062037,0.3575148353440941,2.337192380744522,0.03580657069029162,0.9788749929343614,2709,2709,2269,343,97,440,0,0,39,131902.0,25.3
0.025,1.0,0.007,0.1860144236971526,-0.8009298592757614,0.23224808207969125,0.544315571728574,3.2591711587538437,0.04798818752307124,1.0785601941015805,2709,2709,2041,538,130,668,0,0,39,1540368.0,25.5
0.025,12.0,0.007,0.26998460798369517,-0.7900418172187028,0.3417345792329836,0.6334902984231835,3.660820325250923,0.06201550387596899,1.1002730458137375,2709,2709,2426,114,169,270,0,0,39,3193530.0,27.7
0.05,5.0,0.007,0.5780283026354787,-0.58767023245392,0.9835929586254866,1.0922970412382866,5.067613446192524,0.10520487264673312,1.2347479173495053,2709,2709,2136,286,287,552,0,0,39,32324900.0,26.7
0.075,2.0,0.007,0.42855019220810897,-0.5346688595899952,0.8015245034781675,1.1062545382910216,4.352966145908712,0.11812476928755998,1.2966258679525977,2709,2709,1714,667,328,974,0,0,39,11191453.0,30.2
0.075,,0.007,0.5604065234107776,-0.4940719077730905,1.1342610551097192,1.2462689971884777,4.719154311858537,0.16057585825027684,1.3484974469601803,2709,2709,2262,0,447,0,0,0,39,28678444.0,26.6
0.005,8.0,0.007,-0.42391490987996916,-0.9970942299709423,-0.4251502988762888,-2.479519875529317,-10.556115033120708,0.008547008547008548,0.3054781697831465,234,234,217,15,2,17,0,2475,39,700.0,13.4
0.0075,3.0,0.007,-0.42345341709773043,-0.997113359910048,-0.4246793134292486,-1.9107083016175799,-7.144324074767725,0.024861878453038673,0.4621627919018278,362,362,321,32,9,41,0,2347,39,706.0,9.5
0.01,1.0,0.007,-0.2693611439004323,-0.9889169604528771,-0.2723799415646362,0.24762689540264382,1.7015244972819206,0.02792607802874743,0.8460961703512505,2435,2435,2121,246,68,314,0,274,39,8815.0,22.5
0.01,12.0,0.007,-0.2699153033825258,-0.9886606634159335,-0.27301106777115836,0.25759768860783605,1.7745207519003594,0.02914614121510673,0.8623799098489611,2436,2436,2189,176,71,246,0,273,39,8744.0,22.4
0.015,5.0,0.007,-0.048716939386804214,-0.9605169658876321,-0.05071949909992892,0.3706999295143507,2.453922424916791,0.036544850498338874,0.9828213219374832,2709,2709,2298,312,99,411,0,0,39,146810.0,24.0
0.025,2.0,0.007,0.20956355053548426,-0.8038965531555715,0.2606847233177888,0.5694559485180815,3.4103891460037103,0.049464747139165745,1.0819421885948495,2709,2709,2062,513,134,647,0,0,39,1899477.0,26.0
0.025,,0.007,0.24193755329017663,-0.7793385277812067,0.31043961598944425,0.6074888364778658,3.479945033126844,0.06386120339608711,1.0806140533722541,2709,2709,2535,0,174,0,0,0,39,2517085.0,26.9
0.05,8.0,0.007,0.582719229152072,-0.5541018889427894,1.0516463502116615,1.0874974693666566,4.966799987465201,0.11258767072720562,1.2356018086022138,2709,2709,2286,115,308,376,0,0,39,33363907.0,28.8
0.075,3.0,0.007,0.5037463428010971,-0.5099965555869311,0.9877445980421554,1.2027185436429557,4.694411642347003,0.132890365448505,1.344868377068806,2709,2709,1909,432,368,771,0,0,39,19335126.0,29.0
