stop_frac,be_r,risk_per_trade,annual,mdd,calmar,sharpe,sortino,winrate,pf,n_trades,n_capped,n_cant_afford,final_equity
0.075,5.0,0.003,0.21606430785050756,-0.24198048412466816,0.8928997254968355,1.2441290215372025,4.773263133855905,0.15023994093761536,1.3756399291017638,2709,0,0,2011154.0
0.075,,0.003,0.22054612663545625,-0.24533951479142627,0.8989425401894678,1.2409624431855395,4.695050647979208,0.16057585825027684,1.3501215440370415,2709,0,0,2091577.0
0.1,5.0,0.003,0.16852279233696477,-0.1775178077599933,0.9493289403664228,1.2051225279957036,4.017629063281646,0.19010705057216684,1.2881991868004208,2709,0,0,1314764.0
0.1,8.0,0.003,0.16988612408411874,-0.18051037643562412,0.9411432596768511,1.2050176874988203,3.9948325319278553,0.19748984865263935,1.2850798994474038,2709,0,0,1331206.0
0.075,5.0,0.005,0.3820300454544783,-0.37502339885011365,1.0186832251690114,1.2441607008619513,4.7527848392617775,0.15023994093761536,1.37482853405925,2709,0,0,7863919.0
0.075,,0.005,0.39119322216480756,-0.3827893722390785,1.0219542404653812,1.2436277916524199,4.711233172332329,0.16057585825027684,1.3536420690660191,2709,0,0,8437785.0
0.1,5.0,0.005,0.3047578104464015,-0.282325344986738,1.0794560809293166,1.2088903091851162,4.032379589377094,0.19010705057216684,1.2773101669709865,2709,0,0,4259024.0
0.1,8.0,0.005,0.3057450665008208,-0.2861007727605638,1.068662148482546,1.203753273557361,3.9937771959991433,0.19748984865263935,1.2767553835741852,2709,0,0,4293498.0
0.075,5.0,0.007,0.5482297352448471,-0.48566553775040494,1.1288215708782603,1.246682007391993,4.769974440833486,0.15023994093761536,1.3730018708453255,2709,0,0,26381031.0
0.075,,0.007,0.5604065234107776,-0.4940719077730905,1.1342610551097192,1.2462689971884777,4.719154311858537,0.16057585825027684,1.3484974469601803,2709,0,0,28678444.0
0.1,5.0,0.007,0.44189777075891157,-0.3750099041280406,1.1783629336041037,1.2164003299346338,4.0635011300946395,0.19010705057216684,1.2657993612108938,2709,0,0,12357642.0
0.1,8.0,0.007,0.44051212607528356,-0.3817998499987637,1.153777630024501,1.2080794570890268,4.005546634972775,0.19748984865263935,1.2650217515680244,2709,0,0,12231653.0
0.075,5.0,0.01,0.7903409575844065,-0.6185237078277186,1.277786037272714,1.248470267669407,4.778059256992825,0.15023994093761536,1.36415345766517,2709,0,0,124120584.0
0.075,,0.01,0.7992541608214383,-0.6276808378543343,1.273344847603777,1.2420544589490219,4.700646594340521,0.16057585825027684,1.337354658659202,2709,0,0,130867446.0
0.1,5.0,0.01,0.6385260973442042,-0.4927509208103131,1.295839480714046,1.2182673371379302,4.066860330902282,0.19010705057216684,1.2432601070323854,2709,0,0,48270425.0
0.1,8.0,0.01,0.6342583512519369,-0.5011435146723198,1.2656221874220126,1.2085148257492877,4.005086398732361,0.19748984865263935,1.2435250397116435,2709,0,0,46947106.0
0.075,5.0,0.015,1.1341408945694993,-0.7665876664778678,1.479466660062999,1.2410930731623897,4.742021645628065,0.15023994093761536,1.328483483575753,2709,0,0,807139971.0
0.075,,0.015,1.1334769985648925,-0.7756668684869875,1.4612935586327773,1.23170044304866,4.652304977840511,0.16057585825027684,1.3005496516404769,2709,0,0,804467779.0
0.1,5.0,0.015,0.9245758640158901,-0.6512933203226249,1.41959979500157,1.2103276913356003,4.033470081800102,0.19010705057216684,1.2055563954253943,2709,0,0,268232655.0
0.1,8.0,0.015,0.9258258291469199,-0.6605302339080151,1.401640351372394,1.2070191637868937,4.000840622880061,0.19748984865263935,1.2062359917010141,2709,0,0,270095305.0
