risk_per_trade,be_r,annual,mdd,sharpe,final_equity,n_entries
0.003,1,0.020325,-0.092538,1.3547,30980.0,300
0.003,2,0.019581,-0.114283,1.2853,30740.0,295
0.003,3,0.018134,-0.104131,1.1908,30278.0,282
0.003,4,0.0187,-0.094751,1.2177,30458.0,282
0.003,5,0.01906,-0.108145,1.2132,30573.0,287
0.003,6,0.020951,-0.103449,1.3251,31183.0,282
0.004,1,0.220064,-0.162153,1.6637,208278.0,2071
0.004,2,0.224394,-0.183244,1.6103,216293.0,2131
0.004,3,0.238398,-0.182992,1.6744,244167.0,2084
0.004,4,0.225339,-0.185249,1.6604,218080.0,1945
0.004,5,0.243171,-0.208423,1.7277,254385.0,1993
0.004,6,0.241365,-0.219397,1.7032,250474.0,2000
0.005,1,0.286811,-0.164413,1.379,367449.0,2622
0.005,2,0.402043,-0.230956,1.5658,916618.0,2642
0.005,3,0.406898,-0.200383,1.5863,951022.0,2607
0.005,4,0.456139,-0.188723,1.6554,1372235.0,2634
0.005,5,0.48222,-0.195953,1.7038,1658077.0,2634
0.005,6,0.478135,-0.202867,1.6793,1610013.0,2636
0.006,1,0.360775,-0.220374,1.3355,666648.0,2674
0.006,2,0.493156,-0.277816,1.5294,1793216.0,2676
0.006,3,0.542769,-0.244357,1.5881,2540593.0,2664
0.006,4,0.549704,-0.224175,1.5827,2664999.0,2672
0.006,5,0.599691,-0.263798,1.6486,3738092.0,2674
0.006,6,0.623962,-0.280425,1.654,4388871.0,2681
0.007,1,0.511704,-0.266013,1.3947,2045392.0,2709
0.007,2,0.682902,-0.322053,1.5886,6417659.0,2709
0.007,3,0.760473,-0.299327,1.6575,10374563.0,2709
0.007,4,0.773141,-0.277634,1.6523,11198436.0,2709
0.007,5,0.828217,-0.317991,1.7071,15514961.0,2709
0.007,6,0.81796,-0.327757,1.6857,14611954.0,2709
0.008,1,0.62146,-0.304615,1.4095,4317349.0,2709
0.008,2,0.811784,-0.369622,1.5925,14091393.0,2709
0.008,3,0.935631,-0.345884,1.6845,28511798.0,2709
0.008,4,0.941463,-0.334018,1.6664,29440939.0,2709
0.008,5,1.00518,-0.355676,1.7195,41536370.0,2709
0.008,6,0.990687,-0.370612,1.6953,38445750.0,2709
