entry_time_et,exit_time_et,side,qty,entry_price,exit_price,pnl_usd,stop_dist_pt,r_multiple,exit_reason,duration_min
2018-01-02 09:40:00,2018-01-02 15:55:00,LONG,1,6460.0,6520.75,121.5,28.64,2.121,entry,375.0
2018-01-03 09:40:00,2018-01-03 15:55:00,LONG,1,6546.0,6583.75,75.5,13.24,2.851,entry,375.0
2018-01-04 09:40:00,2018-01-04 09:50:00,SHORT,1,6592.5,6603.75,-22.5,10.11,-1.113,entry,10.0
2018-01-05 09:50:00,2018-01-05 15:55:00,LONG,1,6625.5,6660.75,70.5,3.52,10.002,entry,365.0
2018-01-08 09:45:00,2018-01-08 10:05:00,LONG,1,6671.75,6661.0,-21.5,5.53,-1.942,entry,20.0
2018-01-09 09:40:00,2018-01-09 10:15:00,SHORT,1,6678.0,6688.5,-21.0,13.87,-0.757,entry,35.0
2018-01-10 09:45:00,2018-01-10 11:00:00,SHORT,1,6656.5,6661.75,-10.5,4.43,-1.184,entry,75.0
2018-01-11 09:40:00,2018-01-11 09:45:00,LONG,1,6688.0,6681.25,-13.5,4.45,-1.517,entry,5.0
2018-01-12 09:40:00,2018-01-12 09:50:00,LONG,1,6726.5,6719.0,-15.0,4.02,-1.865,entry,10.0
2018-01-15 09:40:00,2018-01-15 10:55:00,SHORT,1,6776.5,6783.25,-13.5,6.85,-0.985,entry,75.0
2018-01-16 09:40:00,2018-01-16 10:35:00,LONG,1,6837.0,6819.25,-35.5,24.08,-0.737,entry,55.0
2018-01-17 09:40:00,2018-01-17 10:05:00,SHORT,1,6763.25,6775.0,-23.5,9.07,-1.296,entry,25.0
2018-01-18 09:55:00,2018-01-18 10:00:00,LONG,1,6819.0,6804.0,-30.0,3.33,-4.5,entry,5.0
2018-01-19 09:40:00,2018-01-19 09:50:00,LONG,1,6850.25,6836.25,-28.0,13.37,-1.047,entry,10.0
2018-01-22 09:40:00,2018-01-22 15:55:00,LONG,1,6847.75,6917.75,140.0,7.06,9.917,entry,375.0
2018-01-23 09:40:00,2018-01-23 15:55:00,LONG,1,6951.25,6973.75,45.0,11.4,1.973,entry,375.0
2018-01-24 09:40:00,2018-01-24 09:45:00,LONG,1,6982.5,6973.0,-19.0,3.82,-2.489,entry,5.0
2018-01-25 09:50:00,2018-01-25 11:20:00,SHORT,1,6946.0,6947.75,-3.5,13.82,-0.127,entry,90.0
2018-01-26 09:50:00,2018-01-26 15:55:00,LONG,1,6964.0,7027.25,126.5,5.18,12.2,entry,365.0
2018-01-29 10:00:00,2018-01-29 11:40:00,SHORT,1,7006.5,7011.0,-9.0,7.69,-0.585,entry,100.0
2018-01-30 09:40:00,2018-01-30 10:30:00,SHORT,1,6942.0,6941.0,2.0,9.46,0.106,entry,50.0
2018-01-31 09:40:00,2018-01-31 10:40:00,LONG,1,6990.5,6972.5,-36.0,21.66,-0.831,entry,60.0
2018-02-01 09:40:00,2018-02-01 09:50:00,SHORT,1,6930.75,6942.75,-24.0,10.41,-1.152,entry,10.0
2018-02-02 09:40:00,2018-02-02 15:55:00,SHORT,1,6875.25,6765.0,220.5,14.29,7.715,entry,375.0
2018-02-05 09:40:00,2018-02-05 09:45:00,SHORT,1,6707.5,6724.75,-34.5,14.81,-1.164,entry,5.0
2018-02-06 09:40:00,2018-02-06 10:30:00,LONG,1,6510.0,6455.25,-109.5,83.56,-0.655,entry,50.0
2018-02-07 09:40:00,2018-02-07 12:35:00,LONG,1,6644.0,6653.75,19.5,15.1,0.646,entry,175.0
2018-02-08 09:40:00,2018-02-08 09:50:00,SHORT,1,6560.0,6574.75,-29.5,11.09,-1.329,entry,10.0
2018-02-09 09:40:00,2018-02-09 10:10:00,LONG,1,6394.25,6361.0,-66.5,39.67,-0.838,entry,30.0
2018-02-12 09:40:00,2018-02-12 10:10:00,LONG,1,6513.75,6471.0,-85.5,44.52,-0.96,entry,30.0
2018-02-13 09:40:00,2018-02-13 10:00:00,SHORT,1,6496.5,6511.25,-29.5,8.62,-1.71,entry,20.0
2018-02-14 09:40:00,2018-02-14 15:55:00,LONG,1,6550.25,6680.75,261.0,14.7,8.878,entry,375.0
2018-02-15 09:45:00,2018-02-15 10:35:00,LONG,1,6739.0,6725.0,-28.0,16.26,-0.861,entry,50.0
2018-02-16 09:40:00,2018-02-16 09:50:00,SHORT,1,6799.0,6820.0,-42.0,17.8,-1.18,entry,10.0
2018-02-19 09:40:00,2018-02-19 12:55:00,SHORT,1,6788.75,6779.75,18.0,15.61,0.576,entry,195.0
2018-02-20 09:40:00,2018-02-20 14:50:00,LONG,1,6775.25,6794.0,37.5,13.16,1.424,entry,310.0
2018-02-21 09:40:00,2018-02-21 15:00:00,LONG,1,6818.5,6826.0,15.0,12.8,0.586,entry,320.0
2018-02-22 09:40:00,2018-02-22 12:45:00,LONG,1,6810.5,6788.5,-44.0,51.66,-0.426,entry,185.0
2018-02-23 09:45:00,2018-02-23 09:50:00,SHORT,1,6806.5,6816.75,-20.5,6.12,-1.676,entry,5.0
2018-02-26 09:40:00,2018-02-26 15:55:00,LONG,1,6957.0,6992.25,70.5,29.48,1.196,entry,375.0
2018-02-27 09:50:00,2018-02-27 10:05:00,SHORT,1,6971.75,6992.5,-41.5,18.91,-1.097,entry,15.0
2018-02-28 09:40:00,2018-02-28 10:50:00,LONG,1,6933.25,6929.25,-8.0,7.87,-0.508,entry,70.0
2018-03-01 09:40:00,2018-03-01 10:25:00,SHORT,1,6819.5,6866.25,-93.5,42.89,-1.09,entry,45.0
2018-03-02 09:40:00,2018-03-02 10:30:00,SHORT,1,6649.25,6705.0,-111.5,60.24,-0.926,entry,50.0
2018-03-05 09:40:00,2018-03-05 10:35:00,SHORT,1,6777.25,6793.25,-32.0,13.54,-1.182,entry,55.0
2018-03-06 09:45:00,2018-03-06 10:45:00,LONG,1,6915.75,6912.5,-6.5,7.91,-0.411,entry,60.0
2018-03-07 09:40:00,2018-03-07 11:55:00,LONG,1,6887.0,6869.0,-36.0,35.14,-0.512,entry,135.0
2018-03-08 09:40:00,2018-03-08 10:00:00,LONG,1,6961.75,6948.0,-27.5,12.59,-1.092,entry,20.0
2018-03-09 09:40:00,2018-03-09 15:55:00,LONG,1,7035.75,7127.5,183.5,10.44,8.788,entry,375.0
2018-03-12 09:40:00,2018-03-12 10:50:00,LONG,1,7165.75,7155.75,-20.0,7.88,-1.269,entry,70.0
2018-03-13 09:40:00,2018-03-13 10:30:00,LONG,1,7208.25,7179.25,-58.0,21.72,-1.335,entry,50.0
2018-03-14 09:45:00,2018-03-14 10:00:00,SHORT,1,7077.5,7103.75,-52.5,11.66,-2.252,entry,15.0
2018-03-15 09:45:00,2018-03-15 10:00:00,SHORT,1,7040.25,7067.5,-54.5,18.23,-1.495,entry,15.0
2018-03-16 09:40:00,2018-03-16 10:05:00,LONG,1,7083.75,7067.25,-33.0,15.12,-1.092,entry,25.0
2018-03-19 09:40:00,2018-03-19 15:55:00,SHORT,1,6948.25,6885.75,125.0,25.12,2.488,entry,375.0
2018-03-20 09:40:00,2018-03-20 09:55:00,LONG,1,6911.25,6897.0,-28.5,12.43,-1.147,entry,15.0
2018-03-21 09:40:00,2018-03-21 09:50:00,SHORT,1,6888.25,6896.5,-16.5,6.96,-1.186,entry,10.0
2018-03-22 09:40:00,2018-03-22 10:10:00,SHORT,1,6796.75,6819.75,-46.0,19.29,-1.192,entry,30.0
2018-03-23 09:40:00,2018-03-23 11:25:00,LONG,1,6667.75,6671.75,8.0,6.97,0.574,entry,105.0
