k,s,n,win,avg_net_r,med_r,p05,worst,stop_rate,eod_rate
1.0,1.0,1845,0.44607046070460704,-0.06630110980038492,-1.0103863522449543,-1.06984337614908,-1.2330115046417345,0.5387533875338754,0.022222222222222223
1.0,1.5,1845,0.5355013550135501,-0.07116534831002284,0.4001070239814998,-1.0421160399214393,-1.155341003094486,0.42981029810298105,0.04173441734417344
1.0,2.0,1845,0.5940379403794038,-0.06637150891246278,0.35541831954326814,-1.0277553107947957,-1.1165057523208617,0.3403794037940379,0.07208672086720867
1.5,1.0,1501,0.3704197201865423,-0.11915432603219603,-1.0160635882116515,-1.0813189362117184,-1.2330115046417345,0.6129247168554297,0.023317788141239172
1.5,1.5,1501,0.4830113257828115,-0.07502980644052584,-0.2822737976066316,-1.0454778061265597,-1.155341003094486,0.47834776815456365,0.04863424383744171
1.5,2.0,1501,0.558294470353098,-0.049109817110006886,0.3709314167475114,-1.030520438660509,-1.1165057523208617,0.36508994003997336,0.08860759493670886
2.0,1.0,914,0.34682713347921224,-0.06046363326183399,-1.0190232762590308,-1.0778228056181565,-1.2289453989800387,0.6389496717724289,0.02516411378555799
2.0,1.5,914,0.47045951859956237,-0.000517847316166241,-0.8498724418321801,-1.048810187925032,-1.152630265986577,0.49562363238512036,0.05032822757111598
2.0,2.0,914,0.5459518599562363,0.007099573889305901,0.49227151812041026,-1.0326659858872436,-1.1144726994900545,0.4037199124726477,0.06892778993435449
2.5,1.0,331,0.3413897280966767,0.025880466850201986,-1.0224637174732025,-1.0932308614939994,-1.1922082840201742,0.6555891238670695,0.015105740181268883
2.5,1.5,331,0.42900302114803623,-0.0029897374763870007,-1.010666291768959,-1.0552390976341623,-1.1281388560134835,0.5498489425981873,0.03625377643504532
2.5,2.0,331,0.4652567975830816,-0.06929996379445783,-0.8211595260601078,-1.0414293232256036,-1.0961041420099633,0.4984894259818731,0.054380664652567974
