entry_time_et,exit_time_et,side,qty,entry_price,exit_price,pnl_usd,stop_dist_pt,r_multiple,exit_reason,duration_min
2020-01-02 09:30:00,2020-01-02 10:10:00,LONG,17,12511.5,12506.25,-212.5,5.0,-1.25,初始止损,40.0
2020-01-03 09:30:00,2020-01-03 09:35:00,LONG,15,12501.0,12495.25,-202.5,5.5,-1.23,初始止损,5.0
2020-01-06 09:30:00,2020-01-06 09:35:00,LONG,14,12440.75,12434.5,-203.0,5.75,-1.26,初始止损,5.0
2020-01-07 09:35:00,2020-01-07 09:50:00,SHORT,14,12522.0,12528.0,-196.0,6.0,-1.17,初始止损,15.0
2020-01-08 09:30:00,2020-01-08 09:35:00,LONG,14,12551.5,12545.5,-196.0,5.75,-1.22,初始止损,5.0
2020-01-09 09:30:00,2020-01-09 09:35:00,LONG,13,12689.25,12682.75,-195.0,6.0,-1.25,初始止损,5.0
2020-01-10 09:30:00,2020-01-10 09:35:00,SHORT,13,12695.75,12702.25,-195.0,6.25,-1.2,初始止损,5.0
2020-01-13 09:30:00,2020-01-13 09:40:00,LONG,13,12695.5,12689.25,-188.5,6.0,-1.21,初始止损,10.0
2020-01-14 09:35:00,2020-01-14 10:30:00,SHORT,13,12743.75,12750.0,-188.5,6.25,-1.16,初始止损,55.0
2020-01-15 09:30:00,2020-01-15 13:00:00,LONG,13,12742.75,12736.5,-188.5,6.0,-1.21,初始止损,210.0
2020-01-16 09:30:00,2020-01-16 09:35:00,LONG,13,12782.25,12776.0,-188.5,6.0,-1.21,初始止损,5.0
2020-01-17 09:30:00,2020-01-17 10:25:00,SHORT,13,12835.5,12841.75,-188.5,6.0,-1.21,初始止损,55.0
2020-01-20 09:30:00,2020-01-20 10:30:00,LONG,13,12846.0,12840.0,-182.0,6.0,-1.17,初始止损,60.0
2020-01-21 09:30:00,2020-01-21 09:35:00,LONG,13,12839.75,12833.75,-182.0,5.75,-1.22,初始止损,5.0
2020-01-22 09:35:00,2020-01-22 09:50:00,LONG,14,12910.75,12905.25,-182.0,5.5,-1.18,初始止损,15.0
2020-01-23 09:30:00,2020-01-23 09:35:00,SHORT,14,12841.75,12847.25,-182.0,5.5,-1.18,初始止损,5.0
2020-01-24 09:30:00,2020-01-24 09:35:00,SHORT,13,12940.75,12946.75,-182.0,5.5,-1.27,初始止损,5.0
2020-01-27 09:50:00,2020-01-27 09:55:00,LONG,12,12665.5,12659.25,-174.0,6.0,-1.21,初始止损,5.0
2020-01-28 09:35:00,2020-01-28 09:40:00,SHORT,11,12683.75,12690.5,-170.5,6.75,-1.15,初始止损,5.0
2020-01-29 09:45:00,2020-01-29 11:55:00,SHORT,10,12797.25,12804.75,-170.0,7.25,-1.17,初始止损,130.0
2020-01-30 09:30:00,2020-01-30 10:00:00,LONG,10,12767.0,12759.5,-170.0,7.25,-1.17,初始止损,30.0
2020-01-31 09:30:00,2020-01-31 15:55:00,SHORT,10,12827.25,12672.0,3085.0,7.25,21.28,收盘平仓,385.0
2020-02-03 09:30:00,2020-02-03 15:55:00,LONG,10,12746.0,12808.25,1225.0,8.0,7.66,收盘平仓,385.0
2020-02-04 09:30:00,2020-02-04 09:40:00,SHORT,10,12919.75,12928.75,-200.0,8.25,-1.21,初始止损,10.0
2020-02-05 09:30:00,2020-02-05 15:55:00,SHORT,9,13105.75,13052.5,940.5,9.0,5.81,收盘平仓,385.0
2020-02-06 09:30:00,2020-02-06 09:45:00,SHORT,10,13057.0,13066.25,-205.0,9.0,-1.14,初始止损,15.0
2020-02-07 09:30:00,2020-02-07 09:35:00,SHORT,10,13067.0,13076.0,-200.0,8.75,-1.14,初始止损,5.0
2020-02-10 09:30:00,2020-02-10 15:55:00,LONG,10,13091.75,13201.75,2180.0,8.75,12.46,收盘平仓,385.0
2020-02-11 09:30:00,2020-02-11 09:40:00,SHORT,11,13230.0,13238.75,-214.5,8.75,-1.11,初始止损,10.0
2020-02-12 09:30:00,2020-02-12 09:35:00,LONG,11,13275.0,13266.25,-214.5,8.75,-1.11,初始止损,5.0
2020-02-13 09:30:00,2020-02-13 10:00:00,LONG,10,13246.5,13237.0,-210.0,8.75,-1.2,初始止损,30.0
2020-02-14 09:30:00,2020-02-14 09:35:00,LONG,11,13314.75,13306.0,-214.5,8.5,-1.15,初始止损,5.0
2020-02-17 09:30:00,2020-02-17 12:55:00,LONG,11,13338.0,13343.25,93.5,8.25,0.52,收盘平仓,205.0
2020-02-18 09:30:00,2020-02-18 09:35:00,LONG,11,13286.0,13277.25,-214.5,8.0,-1.22,初始止损,5.0
2020-02-19 09:35:00,2020-02-19 15:55:00,LONG,12,13380.75,13405.0,558.0,7.75,3.0,收盘平仓,380.0
2020-02-20 09:30:00,2020-02-20 09:35:00,LONG,12,13391.5,13383.5,-216.0,8.0,-1.12,初始止损,5.0
2020-02-21 09:30:00,2020-02-21 15:55:00,SHORT,11,13255.25,13128.75,2761.0,8.5,14.76,收盘平仓,385.0
2020-02-24 09:40:00,2020-02-24 09:45:00,LONG,11,12854.0,12844.5,-231.0,9.0,-1.17,初始止损,5.0
2020-02-25 09:30:00,2020-02-25 09:35:00,SHORT,9,12812.0,12823.5,-225.0,10.5,-1.19,初始止损,5.0
2020-02-26 09:35:00,2020-02-26 09:50:00,LONG,8,12640.0,12627.0,-224.0,12.0,-1.17,初始止损,15.0
2020-02-27 09:30:00,2020-02-27 09:35:00,SHORT,8,12315.0,12327.75,-220.0,12.25,-1.12,初始止损,5.0
2020-02-28 09:30:00,2020-02-28 09:40:00,LONG,7,11951.75,11937.25,-217.0,13.75,-1.13,初始止损,10.0
2020-03-02 09:35:00,2020-03-02 09:40:00,SHORT,6,12170.25,12187.0,-213.0,14.75,-1.2,初始止损,5.0
2020-03-03 09:35:00,2020-03-03 09:40:00,SHORT,6,12501.75,12518.5,-213.0,16.0,-1.11,初始止损,5.0
2020-03-04 09:35:00,2020-03-04 09:40:00,SHORT,5,12378.25,12398.25,-210.0,17.5,-1.2,初始止损,5.0
2020-03-05 09:30:00,2020-03-05 09:45:00,LONG,5,12436.5,12416.75,-207.5,18.25,-1.14,初始止损,15.0
