stop,scenario,qty,mode,pass_rate,target_hit_rate,blow_rate,timeout_rate,days_median,days_p90,dd_use_median,consist_max
ATR 7.5%×14日(主线),目标firm $50K EOD: DD2000/目标3000/日亏1200/cons50%/冻结+DD,1,eod,24.11214953271028,25.327102803738317,0.0,75.88785046728972,77.0,111.30000000000001,0.9103749999999999,0.4957504709251562
ATR 7.5%×14日(主线),目标firm $50K EOD: DD2000/目标3000/日亏1200/cons50%/冻结+DD,1,intraday,23.644859813084114,23.644859813084114,1.6822429906542056,74.67289719626167,76.0,109.80000000000001,0.91275,0.49430324276950044
ATR 7.5%×14日(主线),目标firm $50K EOD: DD2000/目标3000/日亏1200/cons50%/冻结+DD,2,eod,44.299065420560744,51.96261682242991,32.429906542056074,23.271028037383175,47.0,89.69999999999999,0.8325,0.5
ATR 7.5%×14日(主线),目标firm $50K EOD: DD2000/目标3000/日亏1200/cons50%/冻结+DD,2,intraday,38.22429906542056,40.8411214953271,45.70093457943925,16.074766355140188,44.0,89.19999999999999,0.839,0.5
ATR 7.5%×14日(主线),目标firm $50K EOD: DD2000/目标3000/日亏1200/cons50%/冻结+DD,3,eod,48.50467289719626,51.214953271028044,49.90654205607476,1.588785046728972,37.0,84.0,0.7765,0.5
ATR 7.5%×14日(主线),目标firm $50K EOD: DD2000/目标3000/日亏1200/cons50%/冻结+DD,3,intraday,29.53271028037383,30.093457943925234,69.71962616822431,0.7476635514018692,43.0,84.0,0.788875,0.5
ATR 7.5%×14日(主线),目标firm $50K EOD: DD2000/目标3000/日亏1200/cons50%/冻结+DD,5,eod,34.859813084112155,47.570093457943926,64.57943925233644,0.5607476635514018,25.0,64.0,0.735,0.5
ATR 7.5%×14日(主线),目标firm $50K EOD: DD2000/目标3000/日亏1200/cons50%/冻结+DD,5,intraday,4.112149532710281,5.794392523364486,95.88785046728971,0.0,16.5,32.7,0.8375,0.5
固定10pt,目标firm $50K EOD: DD2000/目标3000/日亏1200/cons50%/冻结+DD,1,eod,2.2429906542056073,2.2429906542056073,0.0,97.75700934579439,107.5,117.7,0.973875,0.32891466445733225
固定10pt,目标firm $50K EOD: DD2000/目标3000/日亏1200/cons50%/冻结+DD,1,intraday,2.2429906542056073,2.2429906542056073,0.0,97.75700934579439,107.5,117.7,0.973875,0.32891466445733225
固定10pt,目标firm $50K EOD: DD2000/目标3000/日亏1200/cons50%/冻结+DD,2,eod,23.644859813084114,31.121495327102807,22.897196261682243,53.45794392523364,63.0,110.80000000000001,0.82,0.4998342724560822
固定10pt,目标firm $50K EOD: DD2000/目标3000/日亏1200/cons50%/冻结+DD,2,intraday,23.644859813084114,24.57943925233645,47.570093457943926,28.785046728971963,63.0,110.80000000000001,0.82,0.4998342724560822
固定10pt,目标firm $50K EOD: DD2000/目标3000/日亏1200/cons50%/冻结+DD,3,eod,23.551401869158877,42.71028037383178,55.51401869158879,20.93457943925234,49.0,94.9,0.7975000000000001,0.4998342724560822
固定10pt,目标firm $50K EOD: DD2000/目标3000/日亏1200/cons50%/冻结+DD,3,intraday,17.009345794392523,18.037383177570092,77.47663551401868,5.514018691588785,40.5,66.9,0.802,0.4997653683716565
固定10pt,目标firm $50K EOD: DD2000/目标3000/日亏1200/cons50%/冻结+DD,5,eod,23.177570093457945,34.67289719626168,71.86915887850466,4.953271028037383,40.0,72.30000000000001,0.725,0.4998342724560822
固定10pt,目标firm $50K EOD: DD2000/目标3000/日亏1200/cons50%/冻结+DD,5,intraday,7.570093457943925,9.532710280373832,91.6822429906542,0.7476635514018692,41.0,64.0,0.665,0.4996389891696751
固定12.5pt,目标firm $50K EOD: DD2000/目标3000/日亏1200/cons50%/冻结+DD,1,eod,6.822429906542056,6.822429906542056,0.0,93.17757009345794,99.0,117.8,0.946,0.26407864045318225
固定12.5pt,目标firm $50K EOD: DD2000/目标3000/日亏1200/cons50%/冻结+DD,1,intraday,6.822429906542056,6.822429906542056,5.607476635514018,87.57009345794393,99.0,117.8,0.946,0.26407864045318225
固定12.5pt,目标firm $50K EOD: DD2000/目标3000/日亏1200/cons50%/冻结+DD,2,eod,24.766355140186917,34.76635514018692,16.542056074766357,58.69158878504673,55.0,94.6,0.811,0.49941792782305006
固定12.5pt,目标firm $50K EOD: DD2000/目标3000/日亏1200/cons50%/冻结+DD,2,intraday,23.925233644859816,26.355140186915886,46.074766355140184,30.0,54.0,90.5,0.834,0.49927262147221413
固定12.5pt,目标firm $50K EOD: DD2000/目标3000/日亏1200/cons50%/冻结+DD,3,eod,25.88785046728972,44.11214953271028,47.38317757009346,26.72897196261682,46.0,84.4,0.7945,0.49965635738831615
固定12.5pt,目标firm $50K EOD: DD2000/目标3000/日亏1200/cons50%/冻结+DD,3,intraday,16.728971962616825,19.158878504672895,72.99065420560747,10.2803738317757,43.0,82.20000000000002,0.835,0.49905541561712846
固定12.5pt,目标firm $50K EOD: DD2000/目标3000/日亏1200/cons50%/冻结+DD,5,eod,21.588785046728972,38.78504672897196,73.27102803738318,5.14018691588785,41.0,66.0,0.73,0.5
固定12.5pt,目标firm $50K EOD: DD2000/目标3000/日亏1200/cons50%/冻结+DD,5,intraday,6.5420560747663545,8.504672897196262,93.3644859813084,0.09345794392523366,47.5,77.1,0.7418750000000001,0.5
固定15pt,目标firm $50K EOD: DD2000/目标3000/日亏1200/cons50%/冻结+DD,1,eod,11.588785046728972,11.588785046728972,0.0,88.41121495327103,87.5,114.7,0.919,0.32967945523999337
固定15pt,目标firm $50K EOD: DD2000/目标3000/日亏1200/cons50%/冻结+DD,1,intraday,11.588785046728972,11.588785046728972,5.607476635514018,82.80373831775701,87.5,114.7,0.919,0.32967945523999337
固定15pt,目标firm $50K EOD: DD2000/目标3000/日亏1200/cons50%/冻结+DD,2,eod,29.439252336448597,37.850467289719624,20.186915887850468,50.373831775700936,61.0,107.0,0.838,0.5
固定15pt,目标firm $50K EOD: DD2000/目标3000/日亏1200/cons50%/冻结+DD,2,intraday,27.19626168224299,28.504672897196258,46.074766355140184,26.72897196261682,58.0,102.0,0.84,0.5
固定15pt,目标firm $50K EOD: DD2000/目标3000/日亏1200/cons50%/冻结+DD,3,eod,29.345794392523366,43.45794392523364,59.345794392523366,11.30841121495327,45.0,99.69999999999999,0.808,0.5
固定15pt,目标firm $50K EOD: DD2000/目标3000/日亏1200/cons50%/冻结+DD,3,intraday,18.878504672897193,20.0,74.39252336448598,6.728971962616822,46.0,87.0,0.8545,0.49929676511954996
固定15pt,目标firm $50K EOD: DD2000/目标3000/日亏1200/cons50%/冻结+DD,5,eod,24.485981308411215,41.02803738317757,73.55140186915888,1.9626168224299065,34.0,100.0,0.68,0.4992264053635895
固定15pt,目标firm $50K EOD: DD2000/目标3000/日亏1200/cons50%/冻结+DD,5,intraday,3.08411214953271,4.579439252336448,96.91588785046729,0.0,18.0,40.8,0.84,0.4952741020793951
固定17.5pt,目标firm $50K EOD: DD2000/目标3000/日亏1200/cons50%/冻结+DD,1,eod,14.205607476635516,16.261682242990656,0.0,85.79439252336448,78.5,115.0,0.926,0.4991781514730054
固定17.5pt,目标firm $50K EOD: DD2000/目标3000/日亏1200/cons50%/冻结+DD,1,intraday,14.205607476635516,15.14018691588785,2.336448598130841,83.45794392523365,78.5,115.0,0.926,0.4991781514730054
固定17.5pt,目标firm $50K EOD: DD2000/目标3000/日亏1200/cons50%/冻结+DD,2,eod,43.83177570093458,54.953271028037385,23.83177570093458,32.33644859813084,67.0,103.0,0.848,0.5
固定17.5pt,目标firm $50K EOD: DD2000/目标3000/日亏1200/cons50%/冻结+DD,2,intraday,34.205607476635514,36.074766355140184,44.299065420560744,21.49532710280374,61.0,104.5,0.852,0.5
固定17.5pt,目标firm $50K EOD: DD2000/目标3000/日亏1200/cons50%/冻结+DD,3,eod,42.71028037383178,50.747663551401864,49.626168224299064,7.663551401869159,49.0,93.40000000000003,0.78025,0.4996342355523043
固定17.5pt,目标firm $50K EOD: DD2000/目标3000/日亏1200/cons50%/冻结+DD,3,intraday,23.177570093457945,25.70093457943925,73.17757009345794,3.6448598130841123,43.0,82.30000000000001,0.8335,0.49929676511954996
固定17.5pt,目标firm $50K EOD: DD2000/目标3000/日亏1200/cons50%/冻结+DD,5,eod,30.934579439252335,44.953271028037385,66.07476635514018,2.990654205607477,38.0,91.0,0.7225,0.5
固定17.5pt,目标firm $50K EOD: DD2000/目标3000/日亏1200/cons50%/冻结+DD,5,intraday,4.205607476635514,5.327102803738318,95.7943925233645,0.0,22.0,43.6,0.815,0.4984147114774889
固定20pt,目标firm $50K EOD: DD2000/目标3000/日亏1200/cons50%/冻结+DD,1,eod,20.93457943925234,21.588785046728972,0.0,79.06542056074767,76.0,110.70000000000002,0.873,0.46639102185469583
