family,window,te,theta,n_trades,tot_r,maxdd_r,calmar_r,win,streak
固定止损族,1,2022,固定17.5pt,255,206.3142857142865,-19.357142857142577,10.658302583026027,0.13333333333333333,21
固定止损族,2,2023,固定20pt,255,35.1000000000001,-32.53750000000001,1.078755282366503,0.15294117647058825,25
固定止损族,3,2024,固定17.5pt,256,69.62857142857143,-40.071428571428555,1.7376114081996443,0.12890625,24
固定止损族,4,2025,固定20pt,255,23.312499999999925,-37.162500000000016,0.6273124789774616,0.11372549019607843,27
固定止损族,5,2026,固定25pt,169,73.0099999999996,-38.68000000000026,1.8875387797311038,0.1301775147928994,42
ATR自适应族,1,2022,ATR 7.5%(主线),255,175.55457735446183,-22.351495035154286,7.854265545922129,0.17254901960784313,21
ATR自适应族,2,2023,ATR 7.5%(主线),255,82.76384333081728,-32.679235098309,2.532612623332176,0.13725490196078433,25
ATR自适应族,3,2024,ATR 7.5%(主线),256,92.82843829610472,-46.21224573640709,2.0087411208188115,0.1484375,21
ATR自适应族,4,2025,ATR 10%,255,18.883242913928683,-34.170048651253275,0.5526255788118725,0.17647058823529413,20
ATR自适应族,5,2026,ATR 10%,169,49.537726574503864,-15.510880290080507,3.1937405000916774,0.20710059171597633,11
