ch,fu,net,months,ch_n,ch_pass
14,27,35408.4588436221,91.81997371879106,3,2
14,20,42469.05006429126,91.81997371879106,5,5
14,14,54517.402395707955,91.81997371879106,16,11
10,27,35617.25884361548,91.81997371879106,3,2
10,20,45129.24996081525,91.81997371879106,6,5
10,14,62303.59961041457,91.81997371879106,21,10
7,27,35483.858843622096,91.81997371879106,4,2
7,20,44163.99996086007,91.81997371879106,6,5
7,14,63826.25319560169,91.81997371879106,26,10
5,27,35391.858843622096,91.81997371879106,5,2
5,20,45037.24996081525,91.81997371879106,7,5
5,14,61816.03915966994,91.81997371879106,31,10
