rules,ch,fu,net,months,monthly_net,payouts,taken,fees,ch_rounds,ch_pass,ch_blow,fu_rounds,fu_blow,live,end_state,end_result,combo
legacy,14,27,35405.458843622095,91.81997371879106,385.5964820035265,157,35684.458843622095,279.0,3,2,1,2,1,0,funded,进行中,考14/资27
legacy,14,20,42469.050064291216,91.81997371879106,462.52518209553654,148,42929.050064291216,460.0,5,5,0,5,4,0,funded,进行中,考14/资20
legacy,14,14,54502.40239570796,91.81997371879106,593.5789370037032,113,55989.40239570796,1487.0,16,11,5,11,10,0,funded,进行中,考14/资14
legacy,14,10,49330.35127520596,91.81997371879106,537.2507666609193,64,51657.35127520596,2327.0,25,16,9,16,15,0,funded,进行中,考14/资10
legacy,14,7,63744.71309784992,91.81997371879106,694.2358020388377,54,66543.71309784992,2799.0,30,16,13,16,16,0,考核,进行中,考14/资7
legacy,10,27,35614.258843615484,91.81997371879106,387.87049703028816,159,35893.258843615484,279.0,3,2,1,2,1,0,funded,进行中,考10/资27
legacy,10,20,45126.24996081526,91.81997371879106,491.46441817789497,156,45681.24996081526,555.0,6,5,1,5,4,0,funded,进行中,考10/资20
legacy,10,14,62270.59961041456,91.81997371879106,678.1814140039425,126,64235.59961041456,1965.0,21,10,11,10,9,0,funded,进行中,考10/资14
legacy,10,10,50440.49992386068,91.81997371879106,549.3412585625472,75,53907.49992386068,3467.0,37,16,21,16,15,0,funded,进行中,考10/资10
legacy,10,7,59933.95457081515,91.81997371879106,652.733301300756,59,64344.95457081515,4411.0,47,17,29,17,17,0,考核,进行中,考10/资7
legacy,7,27,35477.85884362209,91.81997371879106,386.38498146685384,158,35851.85884362209,374.0,4,2,2,2,1,0,funded,进行中,考7/资27
legacy,7,20,44160.999960860034,91.81997371879106,480.9519995737315,153,44715.999960860034,555.0,6,5,1,5,4,0,funded,进行中,考7/资20
legacy,7,14,63778.25319560169,91.81997371879106,694.6010831034403,129,66218.25319560169,2440.0,26,10,16,10,9,0,funded,进行中,考7/资14
legacy,7,10,54047.14275469815,91.81997371879106,588.6207604483047,70,59028.14275469815,4981.0,53,18,35,18,17,0,funded,进行中,考7/资10
legacy,7,7,64261.06755789905,91.81997371879106,699.8593547271724,62,70566.06755789905,6305.0,67,19,47,19,19,0,考核,进行中,考7/资7
legacy,5,27,35382.85884362209,91.81997371879106,385.35034819315075,158,35851.85884362209,469.0,5,2,3,2,1,0,funded,进行中,考5/资27
legacy,5,20,45031.24996081526,91.81997371879106,490.42978490419193,156,45681.24996081526,650.0,7,5,2,5,4,0,funded,进行中,考5/资20
legacy,5,14,61753.039159669934,91.81997371879106,672.5447270198042,129,64668.039159669934,2915.0,31,10,21,10,9,0,funded,进行中,考5/资14
legacy,5,10,53105.62435394491,91.81997371879106,578.3667997617471,71,59704.62435394491,6599.0,70,17,53,17,16,0,funded,进行中,考5/资10
legacy,5,7,63196.6865776511,91.81997371879106,688.2673128528442,58,71505.6865776511,8309.0,88,16,71,16,16,0,考核,进行中,考5/资7
