rules,ch,fu,net,months,monthly_net,payouts,taken,fees,ch_rounds,ch_pass,ch_blow,fu_rounds,fu_blow,live,end_state,end_result,combo
official,14,27,13627.19529709748,91.81997371879106,148.4121019118595,23,15412.19529709748,1785.0,15,7,7,7,3,4,考核,进行中,考14/资27
official,14,20,13342.354488273952,91.81997371879106,145.3099358222036,22,15497.354488273952,2155.0,17,11,5,11,9,2,考核,进行中,考14/资20
official,14,14,22563.726286764708,91.81997371879106,245.73875784226036,24,24813.726286764708,2250.0,18,12,6,12,8,3,funded,进行中,考14/资14
official,14,10,22039.682715311006,91.81997371879106,240.03146399072168,20,24474.682715311006,2435.0,19,14,5,14,11,2,funded,进行中,考14/资10
official,14,7,25378.44578349282,91.81997371879106,276.393520447056,19,27813.44578349282,2435.0,19,14,5,14,11,2,funded,进行中,考14/资7
official,10,27,11055.01306818182,91.81997371879106,120.39878275329323,19,13070.01306818182,2015.0,16,10,5,10,8,2,考核,进行中,考10/资27
official,10,20,14682.816420092135,91.81997371879106,159.90874126211256,24,17837.816420092135,3155.0,28,11,17,11,7,3,funded,进行中,考10/资20
official,10,14,25324.226286764708,91.81997371879106,275.8030226007577,25,28004.226286764708,2680.0,23,11,12,11,7,3,funded,进行中,考10/资14
official,10,10,18941.375,91.81997371879106,206.28817710196782,17,21801.375,2860.0,23,15,8,15,12,2,funded,进行中,考10/资10
official,10,7,29784.070783492825,91.81997371879106,324.3746385150346,24,33354.070783492825,3570.0,30,16,14,16,12,3,funded,进行中,考10/资7
official,7,27,12256.92029709748,91.81997371879106,133.48860602634966,22,14561.92029709748,2305.0,20,8,11,8,5,3,考核,进行中,考7/资27
official,7,20,14664.066420092131,91.81997371879106,159.70453732651322,23,17444.06642009213,2780.0,25,9,16,9,5,3,funded,进行中,考7/资20
official,7,14,25594.05128676471,91.81997371879106,278.74165336998846,27,29034.05128676471,3440.0,31,11,20,11,6,4,funded,进行中,考7/资14
official,7,10,22860.731578947365,91.81997371879106,248.97340581866112,23,27140.731578947365,4280.0,37,17,20,17,13,3,funded,进行中,考7/资10
official,7,7,23076.645783492822,91.81997371879106,251.32490076905958,19,27406.645783492822,4330.0,38,16,22,16,13,2,funded,进行中,考7/资7
official,5,27,12693.67029709748,91.81997371879106,138.24519636624234,24,15378.67029709748,2685.0,24,8,15,8,5,3,考核,进行中,考5/资27
official,5,20,14189.066420092131,91.81997371879106,154.53137095799804,23,17444.06642009213,3255.0,30,9,21,9,5,3,funded,进行中,考5/资20
official,5,14,21879.751286764706,91.81997371879106,238.28967054351259,23,26264.751286764706,4385.0,40,13,27,13,9,3,funded,进行中,考5/资14
official,5,10,22160.007715311003,91.81997371879106,241.34190871344077,22,26535.007715311003,4375.0,38,17,21,17,14,2,funded,进行中,考5/资10
official,5,7,23819.595783492823,91.81997371879106,259.41627751324563,20,29004.595783492823,5185.0,47,16,31,16,13,2,funded,进行中,考5/资7
