scenario,qty,mode,pass_rate,target_hit_rate,blow_rate,timeout_rate,days_median,days_p90,dd_use_median,consist_max
目标firm $50K EOD: DD2000/目标3000/日亏1200/cons50%/冻结+DD,1,eod,17.91370835608957,18.62370289459312,0.0,82.08629164391044,80.0,112.0,0.896375,0.4957504709251562
目标firm $50K EOD: DD2000/目标3000/日亏1200/cons50%/冻结+DD,1,intraday,17.640633533588204,17.640633533588204,0.9830693610049154,81.37629710540688,79.0,111.0,0.896,0.49430324276950044
目标firm $50K EOD: DD2000/目标3000/日亏1200/cons50%/冻结+DD,2,eod,32.16821409066084,37.35663571818678,29.10977607864555,38.72200983069361,56.0,103.20000000000005,0.8315,0.5
目标firm $50K EOD: DD2000/目标3000/日亏1200/cons50%/冻结+DD,2,intraday,28.61824139814309,30.85745494265429,37.13817586018569,34.24358274167122,54.5,104.0,0.8354999999999999,0.5
目标firm $50K EOD: DD2000/目标3000/日亏1200/cons50%/冻结+DD,3,eod,44.0196613872201,46.0404150737302,46.095030038230476,9.885308574549427,49.0,101.5,0.801625,0.5
目标firm $50K EOD: DD2000/目标3000/日亏1200/cons50%/冻结+DD,3,intraday,32.38667394866193,33.09666848716548,58.32878208629164,9.284543965046423,54.0,104.80000000000007,0.82225,0.5
目标firm $50K EOD: DD2000/目标3000/日亏1200/cons50%/冻结+DD,5,eod,42.27198252321136,52.04806116876024,55.05188421627526,2.6761332605133807,38.0,91.0,0.716875,0.5
目标firm $50K EOD: DD2000/目标3000/日亏1200/cons50%/冻结+DD,5,intraday,16.766794101583834,18.350628072091755,81.04860731840525,2.184598580010923,49.0,103.40000000000003,0.7425,0.5
"目标firm同参数,全程trailing(冻结=+3000)",1,eod,17.91370835608957,18.62370289459312,0.0,82.08629164391044,80.0,112.0,0.896375,0.4957504709251562
"目标firm同参数,全程trailing(冻结=+3000)",1,intraday,17.20371381758602,17.20371381758602,1.4199890770071,81.37629710540688,78.0,111.0,0.89275,0.36231884057971014
"目标firm同参数,全程trailing(冻结=+3000)",2,eod,31.29437465865647,35.60895685417804,31.13052976515565,37.57509557618788,55.0,102.0,0.8295,0.5
"目标firm同参数,全程trailing(冻结=+3000)",2,intraday,26.65210267613326,27.5805570726379,40.68814855270344,32.6597487711633,55.0,103.0,0.83175,0.5
"目标firm同参数,全程trailing(冻结=+3000)",3,eod,43.14582195521573,45.54888039322774,47.56963407973785,9.284543965046423,48.0,101.10000000000002,0.801625,0.5
"目标firm同参数,全程trailing(冻结=+3000)",3,intraday,30.69361004915347,31.29437465865647,60.4587657018023,8.847624249044237,55.0,105.0,0.8166249999999999,0.49853228962818
"目标firm同参数,全程trailing(冻结=+3000)",5,eod,38.9404696886947,51.77498634625888,58.8203167667941,2.239213544511196,35.0,90.80000000000007,0.7225,0.5
"目标firm同参数,全程trailing(冻结=+3000)",5,intraday,13.81758601856909,15.07373020207537,84.05243036592026,2.1299836155106497,58.0,106.0,0.70625,0.5
