date,pnl_pc,stop_pt,r,exit_reason
2019-01-02,273.0,15.0,9.1,
2019-01-03,-32.0,15.0,-1.0666666666666667,
2019-01-04,326.0,15.0,10.866666666666667,
2019-01-07,-32.0,15.0,-1.0666666666666667,
2019-01-08,-32.0,15.0,-1.0666666666666667,
2019-01-09,-32.0,15.0,-1.0666666666666667,
2019-01-10,-32.0,15.0,-1.0666666666666667,
2019-01-11,-32.0,15.0,-1.0666666666666667,
2019-01-14,-32.0,15.0,-1.0666666666666667,
2019-01-15,167.5,15.0,5.583333333333333,
2019-01-16,-32.0,15.0,-1.0666666666666667,
2019-01-17,123.0,15.0,4.1,
2019-01-18,-32.0,15.0,-1.0666666666666667,
2019-01-21,-18.0,15.0,-0.6,
2019-01-22,116.0,15.0,3.8666666666666667,
2019-01-23,-32.0,15.0,-1.0666666666666667,
2019-01-24,-32.0,15.0,-1.0666666666666667,
2019-01-25,-32.0,15.0,-1.0666666666666667,
2019-01-28,-32.0,15.0,-1.0666666666666667,
2019-01-29,-32.0,15.0,-1.0666666666666667,
2019-01-30,-32.0,15.0,-1.0666666666666667,
2019-01-31,97.0,15.0,3.2333333333333334,
2019-02-01,-32.0,15.0,-1.0666666666666667,
2019-02-04,-32.0,15.0,-1.0666666666666667,
2019-02-05,58.5,15.0,1.95,
2019-02-06,-32.0,15.0,-1.0666666666666667,
2019-02-07,-32.0,15.0,-1.0666666666666667,
2019-02-08,-32.0,15.0,-1.0666666666666667,
2019-02-11,-32.0,15.0,-1.0666666666666667,
2019-02-12,72.5,15.0,2.4166666666666665,
2019-02-13,-32.0,15.0,-1.0666666666666667,
2019-02-14,-32.0,15.0,-1.0666666666666667,
2019-02-15,-32.0,15.0,-1.0666666666666667,
2019-02-18,20.5,15.0,0.6833333333333333,
2019-02-19,32.5,15.0,1.0833333333333333,
2019-02-20,-32.0,15.0,-1.0666666666666667,
2019-02-21,-32.0,15.0,-1.0666666666666667,
2019-02-22,51.0,15.0,1.7,
2019-02-25,-32.0,15.0,-1.0666666666666667,
2019-02-26,41.0,15.0,1.3666666666666667,
2019-02-27,-32.0,15.0,-1.0666666666666667,
