quarter,payout,考核费,净现金流,考核天,资金号天
2019Q1,2087.775,92.0,1995.775,21,68
2019Q2,2314.7771484375,0.0,2314.7771484375,0,91
2019Q3,7303.8654464721685,0.0,7303.8654464721685,0,92
2019Q4,701.1658544540405,184.0,517.1658544540405,43,46
2020Q1,0.0,184.0,-184.0,66,23
2020Q2,0.0,0.0,0.0,91,0
2020Q3,670.95,0.0,670.95,0,92
2020Q4,322.57968750000003,0.0,322.57968750000003,0,92
2021Q1,1730.2034179687503,184.0,1546.2034179687503,30,60
2021Q2,2554.453125,0.0,2554.453125,34,57
2021Q3,0.0,92.0,-92.0,39,51
2021Q4,987.9750000000001,92.0,895.9750000000001,37,53
2022Q1,1295.325,0.0,1295.325,66,24
2022Q2,8529.027978515625,0.0,8529.027978515625,0,91
2022Q3,1318.1096145629883,92.0,1226.1096145629883,5,85
2022Q4,0.0,0.0,0.0,88,4
2023Q1,773.8312500000001,92.0,681.8312500000001,22,68
2023Q2,647.1,0.0,647.1,82,9
2023Q3,2771.634375,92.0,2679.634375,22,70
2023Q4,2023.8776367187502,0.0,2023.8776367187502,0,92
2024Q1,2574.9912071228027,0.0,2574.9912071228027,0,91
2024Q2,0.0,184.0,-184.0,83,8
2024Q3,0.0,92.0,-92.0,30,62
2024Q4,4380.814263556986,0.0,4380.814263556986,0,92
2025Q1,163.14415498621324,92.0,71.14415498621324,29,59
2025Q2,0.0,0.0,0.0,91,0
2025Q3,0.0,0.0,0.0,92,0
2025Q4,2081.8514683734943,0.0,2081.8514683734943,9,83
2026Q1,4905.662768775297,0.0,4905.662768775297,0,90
2026Q2,4823.869928627312,0.0,4823.869928627312,0,91
2026Q3,1026.4180696360331,0.0,1026.4180696360331,0,59
