quarter,payout,考核费,激活费,reset费,考核月费,账号成本,净现金流,考核天,资金号天
2019Q1,0.0,92.0,0.0,0.0,0.0,92.0,-92.0,89,0
2019Q2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91,0
2019Q3,537.525,0.0,0.0,0.0,0.0,0.0,537.525,36,56
2019Q4,173.728125,0.0,0.0,0.0,0.0,0.0,173.728125,0,92
2020Q1,694.916015625,0.0,0.0,0.0,0.0,0.0,694.916015625,0,91
2020Q2,286.97893066406255,0.0,0.0,0.0,0.0,0.0,286.97893066406255,0,91
2020Q3,917.0718355178833,0.0,0.0,0.0,0.0,0.0,917.0718355178833,0,92
2020Q4,447.43133736848836,0.0,0.0,0.0,0.0,0.0,447.43133736848836,0,92
2021Q1,442.9207085855306,92.0,0.0,0.0,0.0,92.0,350.9207085855306,1,89
2021Q2,266.625,0.0,0.0,0.0,0.0,0.0,266.625,54,37
2021Q3,94.78125,0.0,0.0,0.0,0.0,0.0,94.78125,0,92
2021Q4,1603.086767578125,0.0,0.0,0.0,0.0,0.0,1603.086767578125,0,92
2022Q1,4350.381873321534,0.0,0.0,0.0,0.0,0.0,4350.381873321534,0,90
2022Q2,8876.922130371631,0.0,0.0,0.0,0.0,0.0,8876.922130371631,0,91
2022Q3,1042.3122606434395,0.0,0.0,0.0,0.0,0.0,1042.3122606434395,0,92
2022Q4,2060.394269967752,0.0,0.0,0.0,0.0,0.0,2060.394269967752,0,92
2023Q1,534.2966701101756,92.0,0.0,0.0,0.0,92.0,442.29667011017557,5,83
2023Q2,323.55,0.0,0.0,0.0,0.0,0.0,323.55,82,9
2023Q3,1894.5070312500002,0.0,0.0,0.0,0.0,0.0,1894.5070312500002,0,92
2023Q4,1241.6344848632812,0.0,0.0,0.0,0.0,0.0,1241.6344848632812,0,92
2024Q1,1015.1802263259888,0.0,0.0,0.0,0.0,0.0,1015.1802263259888,0,91
2024Q2,0.0,92.0,0.0,0.0,0.0,92.0,-92.0,10,81
2024Q3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,62
2024Q4,2879.3965533088235,0.0,0.0,0.0,0.0,0.0,2879.3965533088235,0,92
2025Q1,0.0,184.0,0.0,0.0,0.0,184.0,-184.0,58,30
2025Q2,0.0,92.0,0.0,0.0,0.0,92.0,-92.0,73,15
2025Q3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92,0
2025Q4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92,0
2026Q1,3537.9,0.0,0.0,0.0,0.0,0.0,3537.9,33,57
2026Q2,4503.006605113636,0.0,0.0,0.0,0.0,0.0,4503.006605113636,0,91
2026Q3,1625.1647997112366,0.0,0.0,0.0,0.0,0.0,1625.1647997112366,0,59
