quarter,payout,考核费,激活费,reset费,考核月费,账号成本,净现金流,考核天,资金号天
2019Q1,0.0,0.0,0.0,0.0,147.0,147.0,-147.0,89,0
2019Q2,0.0,0.0,0.0,0.0,147.0,147.0,-147.0,91,0
2019Q3,283.5,0.0,149.0,0.0,98.0,247.0,36.5,36,56
2019Q4,272.70000000000005,0.0,0.0,0.0,0.0,0.0,272.70000000000005,0,92
2020Q1,684.225,0.0,0.0,0.0,0.0,0.0,684.225,0,91
2020Q2,680.8781250000001,0.0,0.0,0.0,0.0,0.0,680.8781250000001,0,91
2020Q3,424.94765625,0.0,0.0,0.0,0.0,0.0,424.94765625,0,92
2020Q4,687.8619140625001,0.0,0.0,0.0,0.0,0.0,687.8619140625001,0,92
2021Q1,289.190478515625,0.0,0.0,0.0,49.0,49.0,240.190478515625,1,89
2021Q2,163.35,0.0,149.0,0.0,98.0,247.0,-83.65,54,37
2021Q3,144.1125,0.0,0.0,0.0,0.0,0.0,144.1125,0,92
2021Q4,1498.1203125,0.0,0.0,0.0,0.0,0.0,1498.1203125,0,92
2022Q1,3758.1275390624996,0.0,0.0,0.0,0.0,0.0,3758.1275390624996,0,90
2022Q2,8848.490295410156,0.0,0.0,0.0,0.0,0.0,8848.490295410156,0,91
2022Q3,1197.074514770508,0.0,0.0,0.0,0.0,0.0,1197.074514770508,0,92
2022Q4,2434.917035865784,0.0,0.0,0.0,0.0,0.0,2434.917035865784,0,92
2023Q1,393.2539011955261,0.0,0.0,0.0,49.0,49.0,344.2539011955261,9,81
2023Q2,0.0,0.0,149.0,0.0,147.0,296.0,-296.0,82,9
2023Q3,1773.7875,0.0,0.0,0.0,0.0,0.0,1773.7875,0,92
2023Q4,1079.859375,0.0,0.0,0.0,0.0,0.0,1079.859375,0,92
2024Q1,1341.446484375,0.0,0.0,0.0,0.0,0.0,1341.446484375,0,91
2024Q2,82.7033203125,0.0,0.0,0.0,0.0,0.0,82.7033203125,0,91
2024Q3,0.0,0.0,149.0,0.0,49.0,198.0,-198.0,29,63
2024Q4,2030.6779411764705,0.0,0.0,0.0,0.0,0.0,2030.6779411764705,0,92
2025Q1,0.0,0.0,0.0,0.0,147.0,147.0,-147.0,60,28
2025Q2,0.0,0.0,149.0,0.0,147.0,296.0,-296.0,73,15
2025Q3,0.0,0.0,0.0,0.0,147.0,147.0,-147.0,92,0
2025Q4,0.0,0.0,0.0,0.0,147.0,147.0,-147.0,92,0
2026Q1,2726.1000000000004,0.0,149.0,0.0,98.0,247.0,2479.1000000000004,33,57
2026Q2,3796.7625000000003,0.0,0.0,0.0,0.0,0.0,3796.7625000000003,0,91
2026Q3,2332.389697966508,0.0,0.0,0.0,0.0,0.0,2332.389697966508,0,59
